doc_number,rating,text,summary_raw,review_raw,summary_tokens_length
1108,5.0,"great, memory, works_perfectly, asus, gb, no, format, needed, memory, tablet, no_problems",Great Memory,"Works Perfectly in my Asus TF300T (64GB).

No format needed, only put the memory in the Tablet and no problems at all.",2
1120,3.0,"hit, miss, class, cards, worked_well, samsung, tablets, than, class, capacity, not_understand, works",Hit or miss with,Class 6 cards worked well in my Samsung tablets than the Class 10s of this capacity. Don't understand why but that is what works,2
1121,4.0,"works, card, galaxy, player, showed, error, formatting, card, worked_ok, comes, lose, gb, rather, slow, not_seem, working, full, speed, still, really, nice, space",Works on Andriod 2.3.6,"When I put the card in my Galaxy Player 4.2, it showed up with an error but after formatting the card worked OK. It comes up with 59.46, so you lose a few GB. Also, it is rather slow so it doesn't seem to be working at full speed. Still, it's really nice to have all that space!",2
1124,3.0,"almost, too, much, galaxy, note, music, storage, since, likes, data, charges, phone, recognize, time, moments, music, stop, card, unreadable, said, not_sure, silly, amount, music, songs, give, five_stars, working, experienced",almost too much,"I got this for my at&t galaxy note 1 for more music storage since AT&T likes to rape you with data overage charges. The phone does recognize it, and can utilize it (most of the time). I had moments where my music would stop and the card would be unreadable it said. I'm not sure if it's the colder temperatures or the silly amount of music I had on it (4,256 songs). I can't give this five stars for the lapses in it working that I experienced.",3
1132,3.0,"samsung_galaxy, tab, works, formatting, hard, find, utility, first, card, not, formatted, correctly, galaxy_tab, format, fat, works_fine, rub, windows, native_format, not, provide, fat, option, exfat, tried, format, old, xp, machine, gb, too_big, around, found, quick, easy, utility, works, first, micro_sd, adapter, hope, great, out, later, insert, card, computer, card, reader, hope, not_buy, windows, instructions, click, open, drive, note, drive, opening, google, search, windows, version, fat, format, pick, first, link, click, picture, run, downloaded, drive, opened, used, size, might, not, efficient, means, use, minimum, file, larger, units, mean, waste, space, smaller, units, take, longer, format, mount, wait, done, fun, part, micro, card, out, holder, said, hope, good, next, insert, appear, mount, gb, external, free, space, said, stars, issue, formatting, given, starts, packaging, comes, android, guy, think, pre, format, fat, claims, included, enhance, experience, sandisk, memory, not, see, card",Samsung Galaxy Tab 2 - works only after formatting with hard-to-find utility,"When you first get the card, it's not formatted correctly for the Galaxy Tab 2. Once you format it to FAT32 it works fine...but there's the rub -- if you have Windows 7, the native format does not provide FAT32 as an option (only EXFAT and NTFS). I tried to format on an old XP machine, but 64 gb is too big.

I hunted around for a while and found a quick, easy utility that works - here's how:

First put the micro SD into the adapter (and hope you have great fingernails so you can get it out later.)
Insert the card into your computer card-reader (hope you got one, if not, buy one)
if Windows Autoplay pesters you for instructions on what to do, click ""open drive"" --- note WHICH drive letter you're opening
Do a google search for ""Windows GUI version of fat32format - Ridgecrop Consultants Ltd"" and pick the first link
Click on the picture and then run the downloaded executable selecting the drive you just opened.
I used an allocation size of 4096, which might not be the most efficient (it means you use 4096 bytes minimum for a file, larger allocation units mean you waste more space, smaller units can lead to fragmentation and can take longer to format and to mount) wait for the ""Done""
Now the fun part - get the micro card out of the holder -- like I said, hope you have good fingernails.
Next insert -- it should just appear and mount as a 59.2 GB of external free space.

I only said 3 stars because of the issue of formatting - would have given it 4 starts, but the packaging comes with an Android guy on the it -- you'd think they would pre-format to FAT32 -- it also claims there's an ap included to enhance the experience (SanDisk Memory Zone -- I didn't see it on the card)",7
1137,1.0,"defective, think, card, couple_months, formatted, tablet, write, screwed, sleep, button, every_time, screen, went, black, tablet, turned, replaced, gb_card, everything, went_back, working_fine, tried, putting, gb_card, galaxy, formats, phone, recognizes, memory, write, anything, starts, stops, format, card, windows, card, useless, contacting, sandisk, see, problem, probably, screwed",Defective ...i think,"I've had the card for a couple months it formatted in my tablet and I could write to it but it screwed up the sleep button, every time the screen went black the tablet turned off, when i replaced it with a 32gb card everything went back to working fine. Tried putting the 64 gb card in my Galaxy SIII, it formats and the phone recognizes the memory but I can write anything to it, it starts but then slows down and stops before it finishes. I can't format the card with windows 7 at all. The card is useless, i'm contacting SanDisk now to see if it's a problem with the batch but I'm probably just screwed.",2
1140,2.0,"sandisk, gb, mobile, ultra, class, memory_card, sd, adapter, giving, stars, seller, order, paid, shipping, ordered, came, next_day, expecting, no, later, than, tracking, saw, delivered, since, marked, thats, received, not, pleased, known, may_not, payed, extra, sooner, thus, far, product, works, expected, go, media_player, order, songs, format, player, recognizes, gb, heard, gb, tried, luck, received, formatted, fat, music, popped, able, read, no_problems, no, lag, tell, seeing, around, transfer, rate, not_think, thats, bad, playing, videos, seems, seamless, happy, purchase, product, someone_else, maybe, not, seller",SanDisk 64GB Mobile Ultra MicroSDXC Class 6 Memory Card with SD Adapter,"Firstly I'm giving this only 2 stars because of the seller.  I put the order in on Thursday and paid for expedited shipping.  The other item I ordered came the next day and I was expecting the same from this one, no later than Saturday.  When tracking I saw that it could have been delivered on Saturday however since they marked it for Monday thats when I received it.  I am not to pleased with that.  If I would've known that I may not have payed extra to get it here sooner.  I digress, thus far this product works as expected.  I got it to go with my media player, Cowon J3, in order to get more songs in FLAC format.  The player only recognizes up to 16gb however I have heard a few getting up to 32gb.  I tried my luck with this one and when I received it I formatted it in FAT32, put some of my music on there, and popped it in.  It was able to read it no problems and there has been no lag from what I can tell.  I'm seeing around 7-10 for the transfer rate and I don't think thats bad at all.  Lastly playing videos seems seamless.  I am happy with this purchase and would refer the product to someone else, maybe not the seller.",9
1143,1.0,"burned, poor, memory, boy, feel, burned, sandisk_gb, card, product, worked, motorola, phone, weeks, failed, way, card, loaded, gb, data, personal, permanent, read, mode, access, card, read, play, no_longer, delete, erase, format, otherwise, anything, change, tried, memory_card, phone, thumb, drive, adapter, attached, pc, fails, really, stuck, comes, warranty, want, replacement, send, old, card, since, cannot, erase, anything, send_back, pretty, sensitive, information, guess, learned, hard, way, not, keep, things, phone, memory, sorry, not, full, review, perhaps, unique, hardware, failure, happens, person, happen, weeks, terrible, product, lifetime",Burned with poor memory,"Boy do I feel burned with this SanDisk 64gb MicroSDXC card. Product 'worked' in my Motorola Photon 4G phone for about 6 weeks but then failed in the strangest way. The card has been loaded with roughly 47gb of data, some very personal, and it is now in a permanent READ ONLY mode. I can access what's on the card; read it, play it etc. but can no longer delete, erase, format or otherwise to anything to change the contents. This I have tried to do while memory card is in the phone or in a thumb drive adapter attached to my PC. All fails. So I am really stuck when it comes to warranty. If I want to submit for a replacement I'll have to send in the old card but since I cannot erase anything I would have to send it back with some pretty sensitive information...

I guess I've learned the hard way not to keep things like passwords on phone memory.

Sorry this is not a full review and perhaps this is a unique hardware failure but if it happens to one person surely it will happen again.

6 weeks is a terrible product lifetime.",3
1149,5.0,"works, purchased, take, place, gb_card, full, phone, supposed, support, max, gb, according, documentation, format, card, phone, first, see, whole, card, though, phone, not, use, part, still, see, no, lag, performance, issues, recommend, anyone, wants, upgrade, gb_card, android_phone",Works on Razr MAXX,"This was purchased to take the place of a 32gb card that was about full.  The phone was only supposed to support a max of 32gb according to the documentation, but if you format the card in the phone first, it will see the whole card.  Even though the phone cant use the XC part, I still see no evidence of lag or performance issues.  I would recommend this to anyone who wants to upgrade a 32gb card in an Android phone.",3
1155,4.0,"works, htc, honest, not, amazon, better, price, ship, store, let, anyone, know, looking, info, worked, htc, need, try, mount, follow, error, format, within, phone, access, speed, pretty_good, not, fast, stock, gb, expecting, much, worse, end, extra, space, good, trade, little_bit, loss, speed, whole, music, collection",Works with HTC Sensation 4G,"To be honest, I did not get this from amazon. I got a better price at bestbuy with ship2store. But, just to let anyone know looking for this info, it worked on my HTC Sensation 4G. You just need to try to mount it, then follow the error to format it within the phone.

The access speed is pretty good. Not as fast as the stock 8GB I got with it, but I was expecting much worse. In the end, the extra space was a good trade off with a little bit of loss of speed. now I can put my whole music collection on it ;)",3
1169,5.0,"micro_sd, card, works_great, bought, card, gb, asus, prime, still, not, hands, used, lg, android_phone, worked, day, ago, received, asus, prime, inserted, card, close, gb, tablet, load, card, movies, music, movies, play, directly, micro, card, good_quality, card, movies, perfect, tablet",Wowwwwwwwwwwwwwwwww,"This micro SD card works great. I bought this card for my champagne 64GB Asus Prime. But I still didn't have it on hands so I used it on My MetroPCS Lg Esteem android phone and it worked. 3 day ago I received my Asus prime. Inserted the card in and boommmm, now I have close to 120 GB on my tablet. Load card with MKV movies and music. Movies play directly from the micro card. Good quality card. Movies are perfect on the tablet.",0
1179,1.0,"joke, not_buy, problems, sent, wrong, ram, start, mean, numbers, close, picture, listing, tried, anyway, see, might, another, brands, machine, not, try, boot, ram, packaging, joke, dropped, bag, none, offered, much, protection, make, without, broken, emailed, issue, took, several, days, back, not, offer, replace, told, return, ask, hell, kind, service, emails, take, forever, out, place, lucky, enough, far, friendly, never_buy, another, ever","This comany is a joke, DON'T buy from them unless you like problems.","Amamax sent me the wrong ram to start with, I mean the numbers weren't even close to being the same as the one in the picture or the listing. I tried it anyway to see if it might be another brands substitute and my machine wouldn't even try to boot with this ram in it. The packaging was a joke, they dropped it in a ziplock bag and put  that in a bubble envelope none of which offered much protection but by some miracle it did make it without getting broken. When I emailed them about the issue they took several days to get back to me and when they did they didn't even offer to replace it, they just told me to return it. I ask you what the hell kind of service is that? Emails take forever out of this place and when you are lucky enough to get one it's far from being friendly. I will NEVER buy another item from AMAMAX again EVER!",4
1194,1.0,"cheesy, slow, ship, poor_quality, cable, loose, connection, point, shipped, hong, kong, took, weeks, arrive, pay, difference, good, avoid, disappointment",Cheesy and Slow to Ship,Very poor quality.  Cable loose at connection point.  Shipped from Hong Kong and took 3 weeks to arrive.  Pay the difference and get a good one to avoid the disappointment.,3
1203,4.0,"nook_simple, touch, great_reader, basic, reading, needs, want, top, line, ereader, go, kindle, ereaders, basic, ereader, nook_simple, touch, quite, cheap, plus, last_long, time, battery, charges, nook, st, years, pretty, close, month, charges, depending, level, use, screen, resolution, less_than, modern, kindle, readers, not, back, lit, otherwise, nook, st, handle, basic, needs, completely, readable, direct, sunlight, light, durable, mine, soft, case, give, extra, protection, drops, best, nook, uses, android, functionality, obviously, limited, rooted, still, read, nook, ebooks, plus, install, kindle, app, read, kindle, ebooks, well, best, separate, books, nook, amazon, accounts, want, together, device, use, rooted, nook, access, internet, via, wifi, keep, mind, uses, ink, browser, installed, better, use, nook, reading_books",The Nook Simple Touch is a great e-reader for basic reading needs!,"If you want a top-line ereader, go with one of the Kindle ereaders.  However, if just a basic ereader will do, get a Nook Simple Touch. It's quite cheap now, plus it can last a long time between battery charges.  I've had a Nook ST for 3+ years, and it can get pretty close to a month between charges, depending on level of use.  Screen resolution is less than on more modern Kindle readers, and it is NOT back-lit, but otherwise, the Nook ST should handle all your basic ereading needs.  It is completely readable even in direct sunlight.  It's light and durable.  I have mine in a soft case to give it extra protection from accidental drops.

The best thing about the Nook is that it is rootable.  It only uses Android 2.1, so functionality is obviously limited, but once rooted, it can still read all Nook ebooks, plus you can install the Kindle app on it to read Kindle ebooks as well!  That's the best of both worlds, if you have separate books on your Nook or Amazon accounts and want to combine them all together in one device.  You can use a rooted Nook to access the internet via wifi, but keep in mind it uses e-ink, so it will be sluggish, even with Opera Browser installed.  Better to just use the Nook for reading books.",6
1206,4.0,"four_stars, bought, replace, old, stopped_working",Four Stars,I bought this one to replace an old one that stopped working.,1
1212,1.0,"nowhere, near, acceptable, picture, quality, tablet, defective, beware, sellers",Nowhere near acceptable picture quality!,This tablet was defective. Beware this sellers descriptions!,5
1214,4.0,"good, ability, connect, pc, huge, plus, good_product, price, not, apple, pad, close, biggest, advantage, ability, connect, pc, using, usb_port, not, many, tablets, huge, advantage",Good. Ability to connect to a PC is a huge plus.,Good product for the price. Not an Apple I-pad but close. Biggest advantage is the ability to connect to a PC using the USB port. Not many tablets can do this and it is a huge advantage..,6
1222,2.0,"really, wanted, love, replacing, nook, first, edition, opinion, best, version, far, size, feel, operation, leaves, desired, page_turns, not, weird, albeit, brief, flash, screen, every_time, change, pages, page, turn, actually, faster, first, edition, issues, books, received, error, tried, turn, page, almost, page, not, reset, nook, used, go, function, skip, page, wanted, read, go_back, page, pick, left, bn, customer_service, completely, comes, slightly, older, readers, wants, upgrade, newest, tablet, editions, screens, wanted, read, books, tablet, want, ink, ereader, specifically, reading_books, nook, fan, since, beginning, still, totally, really, want, love, bn, works, out, software, issues",Really wanted to love this.,"This is replacing my Nook first edition (which in my opinion, is the best version by far) and while I like the size and feel of it, the operation leaves something to be desired. Page turns are not instantaneous and there is a weird, albeit brief flash of the screen every time I change pages. The page turn is actually faster on my first edition. I was also having issues with some books where I received an error when I tried to turn the page, almost like the page didn't exist. I would have to reset my nook, used the ""Go To"" function to skip to the page AFTER the one I wanted to read, and then go back a page just to pick up where I left off. And BN customer service is completely unhelpful when it comes to their slightly older e-readers, because everybody wants you to upgrade to their newest tablet editions with backlit screens. If I wanted to read books on a tablet, I would do that, but what I want is an e-ink ereader specifically for reading books. I have been a nook fan since the beginning and I still totally am. I really want to love this, but until BN works out their software issues, I just can't.",3
1226,3.0,"partly, parents, use, credit, card, number, order, books, problem, children, ordering, mistake, gave, gift, year, never, seen, used, partly, parents, use, credit_card, number, order, books, problem, children, ordering, mistake, losing, someone_else, great, time, dime",Partly because of the parents having to use a credit card number to order books and the problem of children ordering by mistake,Gave as a gift and after a year I have NEVER seen it used. Partly because of the parents having to use a credit card number to order books and the problem of children ordering by mistake or losing it and someone else having a great time on their dime.,12
1238,5.0,"good, book, great, novels, not, great, non, fiction, photos, almost, everything, well, compact, keeps, charge, days, feel, look, special",As good as a book,"Great for novels, not so great for non-fiction with photos and charts.  Does almost everything well. Compact, keeps a charge for 30 days or so.  The feel of it, the look of it.  It is special.",2
1257,4.0,"simple, efficient, reader, seems, little, need, say, love, bought, family, kindle, android_devices, things, compare, main, purpose, reading, perfect, holds, battery, charge, well, need, functionality, browsing, gaming, multimedia, work, not, intended",Simple and efficient,"While the B&N reader ecosystem seems a little moribund, I need to say that I love the NST I bought for our family. We also have Kindle and other Android devices so I have things to compare it with. For its main purpose, i.e. reading, it's just about perfect. Holds battery charge well. If you need more functionality, browsing, gaming, multimedia etc, it won't work for you (as it was not intended to).",2
1258,5.0,"great, ereader, time, ereader, best, touch_screen, side, page_turning, buttons, nice, design, made, easy, hold, ereader, couple, years, switched, kindle_paperwhite, nook, glowlight, first, choice, backlight, screen, super, faulty, still, shop, barnes_noble, paperback, books, rather_than, amazon, no_longer, nook, train",Great eReader,"At the time, this was the ereader with the best touch screen, side page-turning buttons, a nice contoured design that made it easy to hold, etc.  I had this ereader for a couple years until I switched to the Kindle Paperwhite.  The Nook Glowlight was my first choice, but the backlight on the screen was super faulty.  I still shop at barnes and noble for all my paperback books rather than amazon, and like bookstores, but I'm no longer on the Nook train.",2
1262,5.0,"five_stars, great",Five Stars,GREAT!!!!,1
1266,3.0,"manual, user, friendly, function, expected, manual, user_friendly, function, expected, reader, much_easier, navigate, than, manual, kindle",Manual but user friendly.. function as expected to ...,Manual but user friendly..function as expected to a reader..much easier to navigate than the manual kindle,5
1268,1.0,"ultra, fail, turned_out, demo, unit, barnes_noble, work, demo, mode, useless, reader",ULTRA FAIL,This turned out to be a demo unit from Barnes and Noble and would only work in demo mode.  Useless as a reader.,2
1269,1.0,"star, returned, slow, transition, screens, became, motion, watching, screen",One Star,"Hated this, I returned it. Slow transition between screens and it flickered, became motion sick with watching the screen.",1
1272,1.0,"barnes, noble, nook_simple, touch, ebook, reader, fi, not_know, bought, tablet, day, using, stored, place, stored, not, screen, reflects, light, many, sources, sun, despite, type, technology, used, screen, size, no, convenient, think, bigger, good, better, well, opinion, product",Barnes & Noble Nook Simple Touch eBook Reader (Wi-Fi Only),"I don't know why I bought this tablet, just only one day using it and I stored it in a place where it continues stored... I don't like the screen... it reflects light from many sources (sun, bulbs, etc) despite the type of technology used in the screen...the size is no convenient, I think a bigger one good be better... well, this is my opinion about this product...",8
1273,4.0,"weird, sold, update, older, nook, hit, find_out, need, charge, overnight, wall, plug, first, usage, must, turned, trying, connect, windows, knowing, important, points, enjoy, nook",Weird anomalies,"This is a sold update to the older nook, but gez you have to hit the webs just to find out you need to charge it OVERNIGHT in a WALL PLUG only before first usage AND that it MUST be turned on before trying to connect to windows.  Now knowing these two VERY IMPORTANT points, I can enjoy my ""Nook 2"".",2
1274,1.0,"simple_touch, reader, not, use, birthday, gift, kids, really, excited, reader, not, read, well, need, backlight, tried, take, back, barnes_noble, purchase, expensive, use, always, not, willing, help, worst, customer_service, ever_seen, ever, unwilling, help, always, asked, kids, not_buy, anything, every, sure, nook, no, use, not, easy, use, easy, read, wanted, trade, pay, use, said, sense, opened, package, tried, use, not, return, nook, know, value, store, unwilling, help, way, though, receipt, product, buy, product, amazon, good, support, customers, buy, product, barnes_noble, product",Simple touch Reader is not one that I can use,"I got this as a  birthday gift from my kids. I was really excited to get a reader but because of some diabetic retinopathy I couldn't read it well. I need something with a backlight. I tried to take it back to Barnes and Noble to purchase a more expensive one that I could use but as always they were not willing to help me. They are the worst at customer service I have ever seen. I won't buy anything from them ever again. They are just unwilling to help. They always have a very lame excuse. I've asked my kids not to buy anything for me from them every again. I sure won't. This NOOK is of no use to me at all, it's not easy to use or easy to read and I just wanted to trade it in, pay more for something I could use but they said sense I had opened the package and tried to use it that I could not return it. Now I have a NOOK that is of know value at all to me and a store that is unwilling to help me in any way even though I had a receipt and an unused product. I will buy product from Amazon because they are so good to support their customers but I won't buy any product that is a Barnes and Noble. product at all.",4
1275,2.0,"nook, kindle, kindle, broke, replaced, extremely, cheap, nook, since, extremely_disappointed, expect, three, things, out, reader, shocked, learn, nook, fails, three, counts, actual, reading, job, fact, slightly, prefer, nook, kindle, terms, form, ease, reading, presence, physical, button, wifi, connectivity, point, wifi, use, downloading, purchases, expect, practically, never, make, purchase, official, store, instead, use, reader, personal, files, textbooks, news, articles, example, left, connect, device, computer, every, single, time, shortcoming, nook, software, see, far, read, edit, file, names, worst, delete, wtf, wtf, product, really, awful, comparison, annoying, say, unhappy, amazon, relation, happened, kindle, stars, actually, work, seems_bit, generous","Scoreboard: Nook 1, Kindle 3","My Kindle broke and I replaced it with an extremely cheap Nook.  Since then I have been extremely disappointed.  I only expect three things out of an e-reader and was shocked to learn that the Nook fails on two of the three counts.

1. The actual reading:
They both do the job.  In fact, I slightly prefer the Nook to the Kindle in terms of form, ease of reading, and the presence of a physical button.

2. Wifi Connectivity:
What the **** is the point of having wifi if you can only use it for downloading purchases from B&N.  I expect to practically NEVER make a purchase from the official store.  Instead I use an e-reader for my personal files (textbooks and news articles for example) and am left having to connect the device to my computer every. single. time.  Unbelievable shortcoming of the Nook.

3. Software
I can't see how far I've read, I can't edit file names, AND WORST OF ALL I CAN'T DELETE???????????!!?!!?!?!!?!  wtf B&N, wtf.

This product is really just awful in comparison.  Annoying to say b/c I was unhappy with Amazon in relation to what happened to my Kindle.

Two stars because it does actually work, but that seems a bit generous...",3
1276,2.0,"far, not, impressed, ok, plugged, responded, nothing, research, found, likes, updated, followed, instructions, nook, website, downloaded, newest, version, nothing, little, monster, came_back, dumb, show, cute, screens, not, yet, anything, far, not_impressed","So far, Not Impressed","OK, I got this thing and plugged it in as instructed, to which it responded by doing Nothing.  After some further research, I found that it likes to be updated.  I followed the instructions on the Nook website and downloaded the newest version and ... Nothing.  The little monster came back just as dumb as before.  It does show cute screens, but not yet anything productive.  So far, Not Impressed.",3
1277,3.0,"recommended, st, ebook, arrived, described, packaged, well, worked_well, issue, ever, not, user_friendly, go, online, find, rest, steps, download, ebook, whether, barnes_noble, library",Recommended for 1st eBook,"This arrived as described, packaged well, and worked well. The only issue I have ever had with them is its not as user friendly as it could be. I had to go to online blogs to find the rest of the steps to download an eBook. Whether it was from Barnes and Noble or the library.",3
1279,3.0,"breaks, lot, inside, months, button, broke, another, several, pages, finally, good, day, replaced, warranty, gone, another_brand",Breaks a lot.,"Inside 9 months one button broke, another flips several pages when you pres it once, and, finally, it froze on me for good the other day. I'm getting it replaced under warranty, but I should've gone with another brand.",2
1280,2.0,"shame, not, allowing, loan, out, longer, period, disappointed, purchasing, wife, learned, couple_months, purchasing, different, books, devices, loan, book, out, device, time, day, period, us, typically, read, lunch, breaks, takes, longer_than, finish, book, yes, realize, trade, nooks, back, forth, though, price, ebook, actual, book, rather, purchase, hard, copy, book",Shame not allowing to loan out for longer period.,"Very disappointed in purchasing 2 of these, one for my wife and one for myself. We learned a couple months after purchasing different books on both devices that we could only loan the book out to the other device one time only for a 14 day period. Both of us typically read over lunch breaks and it takes longer than that to finish a book. Yes I do realize that we can just trade nooks back and forth though for the price of a ebook and the actual book I would rather purchase a hard copy of the book.",7
1284,1.0,"difficult, main, plan, read, library, books, bought, mother, law, hoping, piece, technology, enjoyable, use, nothing, pain, main, uses, reading_books, library, requires, process, going, computer, adobe, id, software, experience, amazon, kindle, basic, ipads, library_books, absolute, pain, feel, bad, five, step, process, way, complex, requires, special, software, computer, transfer, ebook, nook, several, father, law, ok, technology, called, spent, hours, phone, husband, trying, figure_out, book, onto, nook, not_recommend, plan, purchase, nook, otherwise, nothing, frustrating",Difficult if your main plan is to read library books!,"We bought one of these for my mother-in-law hoping to get her a piece of technology that would be enjoyable for her to use. It has been nothing but a pain. Her main thing she uses it for is reading books from the library. This requires a process that involves going through hoops, a computer, and an Adobe ID and software. Having experience with an Amazon Kindle (the very basic one) and iPads with library books, this was an absolute pain and I feel bad for my in-laws. What should be a two-five step process is way more complex and requires special software on the computer to transfer the ebook to the nook. There have been several occasions where my father-in-law (who is ok with technology) has called up and spent hours on the phone with my husband trying to figure out how to get a book onto the nook.

I would not recommend this unless you plan to purchase only from the Nook itself. Otherwise, it is nothing but frustrating.",6
1286,2.0,"bought, replacement, guess, paid, considering, paid, less_than, works, waited, spent, hard, earned, money, else",bought as replacement,"I guess i got what i paid for, considering i paid less than 30 for it. works sparingly. should have waited and spent my hard earned money else where.",2
1290,1.0,"known, screen, problems, screen, stopped_working, week, out, warranty, apparently, common, issue, nook_simple, touch, customer_service, told, barnes_noble, aware, issue, not, plan, repair, replace, anything, not, way, treat, customers, pre, orders, try, different, ereader",Has known screen problems,"My screen stopped working a week out of warranty.  Apparently, this is a common issue with the Nook Simple Touch.  Customer service told me that Barnes & Noble is aware of this issue but they do not plan to repair or replace anything.  This is not the way to treat customers.  I am canceling all my pre-orders and I will try a different ereader.",3
1295,4.0,"job, good, money, spent, wife, bought, mother, not_quite, hang, using, tech, challenged, wife, using, instead, seems, pretty_well, good",Does the job and good for the money spent...,Wife bought this for her elderly mother - but she couldn't quite get the hang of using it (tech challenged)... My wife has been using it instead and seems to like it pretty well... All is good :),4
1299,2.0,"disappointed, bought, replace, sony, prs, thought, too_heavy, too, slow, page_turning, yes, nook, quicker, page_turning, lighter, too_much, trouble, appreciate, faster, lighter, amount, trouble, library_books, onto, nook, yet, problems, adobe_digital, editions, nooks, plug, play, first, big, problem, no_problem, sony, library, book, wanted, sony, second, read, eating, lunch, ereader, left_hand, right, not, easy, change, page, nook, eating, bottom, right, corner, too_far, thumb, bottom, buttons, too, high, side, sony, set, buttons, right, bottom, center, perfect, placement, read, great, reviews, nook, price, thought, worth, try, disappointed, wifi, registration, requirement, wifi, general, not_need, wifi, ereader, looks, offering, not, appreciate, registration, info, used, start, crap, already, service, definitely_not, happy, nook, going, save, money, buy_another, sony, update, finally, able, download, library_books, onto, nook, frustrating, time, consuming, finally, found, help, online, yet, discover, way, comfortably, hold, book, left_hand, turn, page, bad, buy, bought, book, style, cover, waste, money, well, find, cover, gets, way, not_know, good, sony, prs, continue, use, sony, instead, nook, not_recommend, nook",disappointed,"I bought this to replace a Sony PRS-300 that I thought was too heavy and too slow in the page turning.  Yes, the nook is quicker on the page turning and lighter but I am having too much trouble to appreciate faster and lighter.  I am having an infinite amount of trouble getting library books onto the nook - I've yet to succeed and the problems lie with adobe digital editions.  Why aren't nooks plug and play?  That's my first big problem.  I have no problem with my Sony and the library book I wanted is now on my Sony.  The second is that I like to read while I'm eating my lunch - ereader in left hand and fork in right.  It is not easy to change the page on the nook while eating - the bottom right corner is too far from my thumb and the bottom buttons are too high up the side.  The Sony has a set of buttons right in the bottom center, which is perfect placement.  I read the great reviews on the nook and for the price, I thought it was worth a try.  I'm also disappointed with the wifi registration requirement and wifi in general.  I don't need wifi on my ereader but it looks like they're all offering it now.  I also don't appreciate my registration info being used by B&N as permission to start emailing me crap - I am already unsubscribed from that 'service'.  I'm definitely not happy with the nook and I'm going to save up my money to buy another Sony.
**UPDATE 5/25/13**  I finally was able to download library books onto my nook but it was frustrating and time consuming; I finally found help online.  I have yet to discover a way to comfortably hold this book in my left hand and turn the page.  This was a very bad buy for me.  I bought a book-style cover for it and that was a waste of money as well as I find the cover just gets in the way.  I did not know how good I had it with the Sony PRS-300 and will continue to use my Sony instead of the nook.  I don't recommend the nook at all.",1
1302,3.0,"come, little, better, seems, limited, device, potential, think, good_price, new, backup, kindle, pros, sd_card, slot, rooted, rooting, battery_life, not, stable, rooted, limited, web_browser, no, anything, useful, browser, paperwhite, much_better, pretty_well, made, device, ok, back, kindle_paperwhite",I have come to like it a little better.,"It seems to be a limited device, but it has potential  I think a good price it new should be about $55.00. I have one as a backup to my kindle P.W there are two pros ,the SD card slot and it can be rooted, but rooting affects battery life and its not stable when rooted. Very very limited web browser no Facebook or anything useful, the browser on the the paperwhite is much better. It is a pretty well made device.
It is a ok back up to my kindle paperwhite.",3
1304,4.0,"nook, bought, grandson, loves, little, putting, credit_card, purchase, great",nook,"I bought it for my grandson and he loves it! I little scarry putting my credit card in it to purchase, but the item itself is great",1
